jurisdiccion_de_residencia_id,provincia_nombre,cie10_causa_id,causa_defuncion,sexo_id,Sexo,grupo_edad,cantidad,codigo,rango_edad,Especialidad,especialidad_disponible,Tasa de Mortalidad Adultos,num_establecimientos
18,CORRIENTES,A41,Otras Sepsis,2,femenino,02.De 15 a 34 anios,3,02,De 15 a 34 anios,INFECTOLOGÍA,1,0.18515274833088505,713
82,SANTA FE,J98,Otros trastornos respiratorios,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.8106037052668295,2548
6,BUENOS AIRES,I42,Cardiomiopatía,1,masculino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,CARDIOLOGÍA,1,0.7563380015732742,9773
54,MISIONES,I21,Infarto agudo del miocardio,1,masculino,02.De 15 a 34 anios,3,02,De 15 a 34 anios,CARDIOLOGÍA,1,0.5356905212761011,953
82,SANTA FE,I49,Otras arritmias cardiacas,1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,CARDIOLOGÍA,1,0.8106037052668295,2548
14,CÓRDOBA,I49,Otras arritmias cardiacas,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,CARDIOLOGÍA,1,2.601768414079629,8186
18,CORRIENTES,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",2,femenino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.18515274833088505,713
2,CIUDAD AUTÓNOMA DE BUENOS AIRES,I42,Cardiomiopatía,2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,CARDIOLOGÍA,1,4.903988474345726,1761
10,CATAMARCA,R99,Otras causas mal definidas y las no especificadas de mortalidad,1,masculino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,MEDICINA GENERAL Y/O MEDICINA FAMILIA,1,0.07578053462385934,566
82,SANTA FE,J18,"Neumonía, organismo no especificado",2,femenino,02.De 15 a 34 anios,5,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.8106037052668295,2548
54,MISIONES,I42,Cardiomiopatía,2,femenino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,CARDIOLOGÍA,1,0.5356905212761011,953
58,NEUQUÉN,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",2,femenino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.4903119903707241,1287
66,SALTA,J18,"Neumonía, organismo no especificado",1,masculino,02.De 15 a 34 anios,4,02,De 15 a 34 anios,NEUMONOLOGÍA,1,0.514793286430103,1120
22,CHACO,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,1,02,De 15 a 34 anios,PSIQUIATRÍA,1,1.814367302537006,976
30,ENTRE RÍOS,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,20,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.7222905910709475,1158
50,MENDOZA,X70,"Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1,masculino,02.De 15 a 34 anios,2,02,De 15 a 34 anios,PSIQUIATRÍA,1,0.674473167775137,2262
