Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,135,0.0032
Alergia e inmunología Pediátrica,2,0
Anatomía Patológica,337,0.008
Anestesiología,838,0.0199
Angiología General y Hemodinamia,20,0.0005
Auditoría de Servicios de Salud,225,0.0053
Cardiología,1859,0.0441
Cardiología Infantil,106,0.0025
Cirugía Cardiovascular,106,0.0025
Cirugía Cardiovascular Pediátric,30,0.0007
Cirugía de Cabeza y Cuello,45,0.0011
Cirugía de Tórax (Cirugía Torácica),78,0.0018
Cirugía General,2218,0.0526
Cirugía infantil (Cirugía Pediátric,677,0.016
Cirugía Plástica y Reparadora,423,0.01
Cirugía Vascular Periférica,120,0.0028
Clínica Médica,6874,0.1629
Coloproctología,47,0.0011
Dermatología,885,0.021
Dermatología Pediátrica,36,0.0009
Diagnóstico por Imágenes,1283,0.0304
Emergentología,275,0.0065
Endocrinología,287,0.0068
Endocrinología Infantil,44,0.001
Enfermería en Cuidados Paliativos,17,0.0004
Enfermería en Salud del Adulto,1,0
Epidemiología,5,0.0001
Especialidad de Endodoncia,1,0
Especialidad en Cirugía y Traumatología Bucomaxilofacial,1,0
Farmacología Clínica,7,0.0002
Fisiatría (Medicina Física y Rehabilitación),161,0.0038
Gastroenterología,513,0.0122
Gastroenterología Infantil,61,0.0014
Genética Médica,19,0.0005
Geriatría,208,0.0049
Gestión de Servicios de Salud,4,0.0001
Ginecología,1572,0.0373
Hematología,225,0.0053
Hematología Infantil,26,0.0006
Hemato-oncología Pediátrica,3,0.0001
Hemoterapia e Inmunohema,115,0.0027
Hepatología,118,0.0028
Hepatología Pediátrica,5,0.0001
Infectología,322,0.0076
Infectología Infantil,37,0.0009
MASTOLOGÍA (R),1,0
Medicina del Deporte,135,0.0032
Medicina del Trabajo,629,0.0149
"Medicina General y/o Medicina de
Familia",1383,0.0328
Medicina Legal,1140,0.027
Medicina Nuclear,46,0.0011
Medicina Paliativa,1,0
Nefrología,335,0.0079
Nefrología Infantil,48,0.0011
Neonatología,873,0.0207
Neumonología,373,0.0088
Neumonología Infantil,94,0.0022
Neurocirugía,259,0.0061
Neurología,543,0.0129
Neurología Infantil,108,0.0026
Nutrición,285,0.0068
Obstetricia,1434,0.034
Oftalmología,1033,0.0245
Oncología,277,0.0066
Oncología Infantil,13,0.0003
Ortopedia y Traumatología,1739,0.0412
Ortopedia y Traumatología Infan,45,0.0011
Otorrinolaringología,451,0.0107
Pediatría,5894,0.1397
Psiquiatría,1378,0.0327
Psiquiatría Infanto Juvenil,187,0.0044
Radioterapia o Terapia Radiante,29,0.0007
Reumatología,210,0.005
Reumatología Infantil,7,0.0002
Salud Pública,134,0.0032
Terapia Intensiva,971,0.023
Terapia Intensiva Infantil,164,0.0039
Tocoginecología,1210,0.0287
Toxicología,46,0.0011
Urología,352,0.0083
