Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,144,0.0043
Alergia e inmunología Pediátrica,4,0.0001
Anatomía Patológica,347,0.0103
Anestesiología,730,0.0216
Angiología General y Hemodina,51,0.0015
Auditoría de Servicios de Salud,85,0.0025
Cardiología,1745,0.0517
Cardiología Infantil,100,0.003
Cirugía Cardiovascular,187,0.0055
Cirugía Cardiovascular Pediátric,25,0.0007
Cirugía de Cabeza y Cuello,41,0.0012
Cirugía de Tórax (Cirugía Torá,73,0.0022
Cirugía General,1685,0.0499
Cirugía infantil (Cirugía Pediá,332,0.0098
Cirugía Plástica y Reparadora,685,0.0203
Cirugía Vascular Periférica,51,0.0015
Clínica Médica,4847,0.1435
Coloproctología,39,0.0012
Dermatología,828,0.0245
Dermatología Pediátrica,71,0.0021
Diagnóstico por Imágenes,1188,0.0352
Electrofisiología cardíaca,3,0.0001
Emergentología,125,0.0037
Endocrinología,337,0.01
Endocrinología Infantil,56,0.0017
Enfermería en Cuidados Paliativ,2,0.0001
Epidemiología,11,0.0003
Especialidad de Endodoncia,1,0
Especialidad en Cirugía y Traumatología Bucomaxilofacial,4,0.0001
Farmacología Clínica,12,0.0004
Fisiatría (Medicina Física y Rehabilitación),84,0.0025
Gastroenterología,558,0.0165
Gastroenterología Infantil,41,0.0012
Genética Médica,43,0.0013
Geriatría,243,0.0072
Gestión de Servicios de Salud,11,0.0003
Ginecología,496,0.0147
Hematología,308,0.0091
Hematología Infantil,25,0.0007
Hemato-oncología Pediátrica,12,0.0004
Hemoterapia e Inmunohematología,71,0.0021
Hepatología,90,0.0027
Hepatología Pediátrica,7,0.0002
Infectología,398,0.0118
Infectología Infantil,48,0.0014
MASTOLOGÍA (R),1,0
Medicina del Deporte,153,0.0045
Medicina del Trabajo,426,0.0126
Medicina General y/o Medicina,742,0.022
Medicina Legal,969,0.0287
Medicina Nuclear,42,0.0012
Medicina Paliativa,7,0.0002
Nefrología,363,0.0107
Nefrología Infantil,52,0.0015
Neonatología,426,0.0126
Neumonología,316,0.0094
Neumonología Infantil,76,0.0023
Neurocirugía,274,0.0081
Neurología,529,0.0157
Neurología Infantil,84,0.0025
Nutrición,321,0.0095
Obstetricia,363,0.0107
Oftalmología,898,0.0266
Oncología,302,0.0089
Oncología Infantil,15,0.0004
Ortopedia y Traumatología,1252,0.0371
Ortopedia y Traumatología Infan,27,0.0008
Otorrinolaringología,442,0.0131
Pediatría,4210,0.1246
Psiquiatría,1737,0.0514
Psiquiatría Infanto Juvenil,252,0.0075
Radioterapia o Terapia Radiante,57,0.0017
Reumatología,225,0.0067
Reumatología Infantil,15,0.0004
Salud Pública,57,0.0017
Terapia Intensiva,825,0.0244
Terapia Intensiva Infantil,139,0.0041
Tocoginecología,1516,0.0449
Toxicología,45,0.0013
Urología,373,0.011
