Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,3,0.0109
Anestesiología,7,0.0254
Angiología General y Hemodina,1,0.0036
Auditoría de Servicios de Salud,1,0.0036
Cardiología,23,0.0833
Cirugía Cardiovascular,3,0.0109
Cirugía Cardiovascular Pediátric,1,0.0036
Cirugía de Tórax (Cirugía Torácica),2,0.0072
Cirugía General,24,0.087
Cirugía infantil (Cirugía Pediá,3,0.0109
Cirugía Plástica y Reparadora,1,0.0036
Clínica Médica,22,0.0797
Dermatología,7,0.0254
Diagnóstico por Imágenes,8,0.029
Emergentología,2,0.0072
Endocrinología,8,0.029
Gastroenterología,11,0.0399
Ginecología,1,0.0036
Hematología,1,0.0036
Infectología,2,0.0072
Infectología Infantil,1,0.0036
Medicina del Trabajo,5,0.0181
Medicina General y/o Medicina Familia,10,0.0362
Medicina Legal,6,0.0217
Nefrología,4,0.0145
Neonatología,5,0.0181
Neumonología,1,0.0036
Neumonología Infantil,1,0.0036
Neurocirugía,3,0.0109
Neurología,6,0.0217
Obstetricia,1,0.0036
Oftalmología,17,0.0616
Oncología,4,0.0145
Ortopedia y Traumatología,12,0.0435
Otorrinolaringología,2,0.0072
Pediatría,25,0.0906
Psiquiatría,14,0.0507
Psiquiatría Infanto Juvenil,1,0.0036
Reumatología,1,0.0036
Terapia Intensiva,4,0.0145
Terapia Intensiva Infantil,3,0.0109
Tocoginecología,14,0.0507
Urología,5,0.0181
