Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,1,0.0005
Anatomía Patológica,21,0.0115
Anestesiología,58,0.0318
Angiología General y Hemodina,5,0.0027
Cardiología,124,0.0681
Cardiología Infantil,11,0.006
Cirugía Cardiovascular,6,0.0033
Cirugía Cardiovascular Pediátrica,1,0.0005
Cirugía de Tórax (Cirugía Torácica),1,0.0005
Cirugía General,124,0.0681
Cirugía infantil (Cirugía Pediátrica),7,0.0038
Cirugía Plástica y Reparadora,26,0.0143
Cirugía Vascular Periférica,2,0.0011
Clínica Médica,183,0.1004
Dermatología,23,0.0126
Dermatología Pediátrica,1,0.0005
Diagnóstico por Imágenes,59,0.0324
Endocrinología,5,0.0027
Epidemiología,3,0.0016
Fisiatría (Medicina Física y Rehabilitación),4,0.0022
Gastroenterología,28,0.0154
Gastroenterología Infantil,2,0.0011
Genética Médica,1,0.0005
Geriatría,16,0.0088
Ginecología,6,0.0033
Hematología,7,0.0038
Hemoterapia e Inmunohematol,5,0.0027
Infectología,26,0.0143
Medicina del Deporte,2,0.0011
Medicina del Trabajo,24,0.0132
Medicina General y/o Medicina Familia,87,0.0477
Medicina Legal,44,0.0241
Medicina Nuclear,1,0.0005
Nefrología,22,0.0121
Nefrología Infantil,3,0.0016
Neonatología,34,0.0187
Neumonología,17,0.0093
Neumonología Infantil,2,0.0011
Neurocirugía,9,0.0049
Neurología,15,0.0082
Neurología Infantil,2,0.0011
Nutrición,28,0.0154
Obstetricia,5,0.0027
Oftalmología,83,0.0456
Oncología,23,0.0126
Ortopedia y Traumatología,67,0.0368
Ortopedia y Traumatología Infantil,1,0.0005
Otorrinolaringología,34,0.0187
Pediatría,240,0.1317
Psiquiatría,79,0.0434
Radioterapia o Terapia Radiante,2,0.0011
Reumatología,7,0.0038
Salud Mental (R),1,0.0005
Salud Pública,2,0.0011
Terapia Intensiva,50,0.0274
Terapia Intensiva Infantil,5,0.0027
Tocoginecología,148,0.0812
Urología,29,0.0159
