Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,5,0.0029
Anatomía Patológica,15,0.0087
Anestesiología,50,0.0289
Angiología General y Hemodinamia,3,0.0017
Auditoría de Servicios de Salud,6,0.0035
Cardiología,73,0.0422
Cardiología Infantil,7,0.004
Cirugía Cardiovascular,4,0.0023
Cirugía de Cabeza y Cuello,3,0.0017
Cirugía General,97,0.0561
Cirugía infantil (Cirugía Pediátrica),9,0.0052
Cirugía Plástica y Reparadora,13,0.0075
Cirugía Vascular Periférica,2,0.0012
Clínica Médica,173,0.1
Coloproctología,1,0.0006
Dermatología,23,0.0133
Dermatología Pediátrica,1,0.0006
Diagnóstico por Imágenes,52,0.0301
Emergentología,6,0.0035
Endocrinología,7,0.004
Endocrinología Infantil,1,0.0006
Epidemiología,2,0.0012
Especialidad en Cirugía y Traumatología Bucomaxilofacial,1,0.0006
Fisiatría (Medicina Física y Rehabilitación),4,0.0023
Gastroenterología,20,0.0116
Gastroenterología Infantil,2,0.0012
Geriatría,6,0.0035
Ginecología,15,0.0087
Hematología,10,0.0058
Hemato-oncología Pediátrica,1,0.0006
Hemoterapia e Inmunohematología,5,0.0029
Hepatología Pediátrica,1,0.0006
Infectología,7,0.004
Infectología Infantil,1,0.0006
Medicina del Deporte,4,0.0023
Medicina del Trabajo,73,0.0422
Medicina General y/o Medicina Familia,239,0.1382
Medicina Legal,48,0.0277
Nefrología,8,0.0046
Nefrología Infantil,1,0.0006
Neonatología,37,0.0214
Neumonología,11,0.0064
Neumonología Infantil,4,0.0023
Neurocirugía,10,0.0058
Neurología,14,0.0081
Neurología Infantil,4,0.0023
Nutrición,4,0.0023
Obstetricia,18,0.0104
Oftalmología,64,0.037
Oncología,16,0.0092
Ortopedia y Traumatología,69,0.0399
Ortopedia y Traumatología Infantil,2,0.0012
Otorrinolaringología,12,0.0069
Pediatría,236,0.1364
Psiquiatría,58,0.0335
Psiquiatría Infanto Juvenil,4,0.0023
Radioterapia o Terapia Radiante,2,0.0012
Reumatología,5,0.0029
Terapia Intensiva,39,0.0225
Terapia Intensiva Infantil,15,0.0087
Tocoginecología,90,0.052
Toxicología,1,0.0006
Urología,16,0.0092
