Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,5,0.0066
Anatomía Patológica,3,0.004
Anestesiología,25,0.0331
Angiología General y Hemodina,1,0.0013
Auditoría de Servicios de Salud,3,0.004
Cardiología,44,0.0582
Cardiología Infantil,3,0.004
Cirugía Cardiovascular,2,0.0026
Cirugía de Cabeza y Cuello,2,0.0026
Cirugía de Tórax (Cirugía Torácica),2,0.0026
Cirugía General,34,0.045
Cirugía infantil (Cirugía Pediátrica),7,0.0093
Cirugía Plástica y Reparadora,10,0.0132
Cirugía Vascular Periférica,2,0.0026
Clínica Médica,58,0.0767
Dermatología,17,0.0225
Dermatología Pediátrica,4,0.0053
Diagnóstico por Imágenes,19,0.0251
Emergentología,11,0.0146
Endocrinología,16,0.0212
Endocrinología Infantil,1,0.0013
Fisiatría (Medicina Física y Familia,4,0.0053
Gastroenterología,13,0.0172
Gastroenterología Infantil,3,0.004
Geriatría,5,0.0066
Ginecología,20,0.0265
Hematología,3,0.004
Hemoterapia e Inmunohematol,2,0.0026
Hepatología,2,0.0026
Infectología,8,0.0106
Medicina del Deporte,3,0.004
Medicina del Trabajo,18,0.0238
Medicina General y/o Medicina,20,0.0265
Medicina Legal,8,0.0106
Medicina Nuclear,1,0.0013
Nefrología,11,0.0146
Nefrología Infantil,2,0.0026
Neonatología,19,0.0251
Neumonología,11,0.0146
Neumonología Infantil,2,0.0026
Neurocirugía,9,0.0119
Neurología,6,0.0079
Nutrición,1,0.0013
Obstetricia,41,0.0542
Oftalmología,46,0.0608
Oncología,4,0.0053
Oncología Infantil,1,0.0013
Ortopedia y Traumatología,45,0.0595
Ortopedia y Traumatología Infan,2,0.0026
Otorrinolaringología,12,0.0159
Pediatría,72,0.0952
Psiquiatría,25,0.0331
Psiquiatría Infanto Juvenil,1,0.0013
Radioterapia o Terapia Radiante,1,0.0013
Reumatología,6,0.0079
Salud Pública,1,0.0013
Terapia Intensiva,25,0.0331
Terapia Intensiva Infantil,4,0.0053
Tocoginecología,20,0.0265
Toxicología,1,0.0013
Urología,9,0.0119
