Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,4,0.0041
Anatomía Patológica,12,0.0124
Anestesiología,20,0.0206
Angiología General y Hemodinamia,4,0.0041
Auditoría de Servicios de Salud,4,0.0041
Cardiología,40,0.0412
Cardiología Infantil,4,0.0041
Cirugía Cardiovascular,4,0.0041
Cirugía Cardiovascular Pediátrica,1,0.001
Cirugía de Tórax (Cirugía Torácica),2,0.0021
Cirugía General,51,0.0525
Cirugía infantil (Cirugía Pediátrica),7,0.0072
Cirugía Plástica y Reparadora,6,0.0062
Cirugía Vascular Periférica,3,0.0031
Clínica Médica,72,0.0742
Dermatología,12,0.0124
Dermatología Pediátrica,1,0.001
Diagnóstico por Imágenes,35,0.036
Emergentología,2,0.0021
Endocrinología,16,0.0165
Fisiatría (Medicina Física y Rehabilitación),3,0.0031
Gastroenterología,15,0.0154
Gastroenterología Infantil,1,0.001
Geriatría,6,0.0062
Gestión de Servicios de Salud,1,0.001
Ginecología,14,0.0144
Hematología,4,0.0041
Hemoterapia e Inmunohematología,2,0.0021
Hepatología,1,0.001
Infectología,7,0.0072
Medicina del Deporte,5,0.0051
Medicina del Trabajo,24,0.0247
Medicina General y/o Medicina Familia,159,0.1637
Medicina Legal,20,0.0206
Medicina Nuclear,2,0.0021
Medicina Paliativa,1,0.001
Nefrología,7,0.0072
Nefrología Infantil,2,0.0021
Neonatología,19,0.0196
Neumonología,9,0.0093
Neumonología Infantil,3,0.0031
Neurocirugía,6,0.0062
Neurología,8,0.0082
Neurología Infantil,2,0.0021
Nutrición,5,0.0051
Obstetricia,9,0.0093
Oftalmología,36,0.0371
Oncología,10,0.0103
Ortopedia y Traumatología,35,0.036
Ortopedia y Traumatología Infantil,1,0.001
Otorrinolaringología,9,0.0093
Pediatría,100,0.103
Psiquiatría,29,0.0299
Psiquiatría Infanto Juvenil,3,0.0031
Radioterapia o Terapia Radiante,2,0.0021
Reumatología,5,0.0051
Salud Pública,1,0.001
Terapia Intensiva,30,0.0309
Terapia Intensiva Infantil,5,0.0051
Tocoginecología,54,0.0556
Toxicología,2,0.0021
Urología,14,0.0144
