Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,3,0.0032
Anatomía Patológica,3,0.0032
Anestesiología,18,0.019
Angiología General y Hemodinamia,5,0.0053
Auditoría de Servicios de Salud,5,0.0053
Cardiología,50,0.0529
Cirugía Cardiovascular,6,0.0063
Cirugía Cardiovascular Pediátrica,1,0.0011
Cirugía de Cabeza y Cuello,1,0.0011
Cirugía de Tórax (Cirugía Torácica),2,0.0021
Cirugía General,62,0.0656
Cirugía infantil (Cirugía Pediátrica),3,0.0032
Cirugía Plástica y Reparadora,5,0.0053
Clínica Médica,98,0.1037
Dermatología,7,0.0074
Dermatología Pediátrica,1,0.0011
Diagnóstico por Imágenes,13,0.0138
Electrofisiología cardíaca,2,0.0021
Endocrinología,8,0.0085
Fisiatría (Medicina Física y Rehabilitación),3,0.0032
Gastroenterología,8,0.0085
Gastroenterología Infantil,1,0.0011
Geriatría,3,0.0032
Ginecología,5,0.0053
Hematología,1,0.0011
Hemoterapia e Inmunohematología,4,0.0042
Infectología,5,0.0053
Infectología Infantil,1,0.0011
Medicina del Deporte,4,0.0042
Medicina del Trabajo,18,0.019
Medicina General y/o Medicina Familia,158,0.1672
Medicina Legal,24,0.0254
Medicina Nuclear,1,0.0011
Nefrología,9,0.0095
Neonatología,30,0.0317
Neumonología,4,0.0042
Neurocirugía,6,0.0063
Neurología,14,0.0148
Obstetricia,4,0.0042
Oftalmología,32,0.0339
Oncología,6,0.0063
Ortopedia y Traumatología,24,0.0254
Otorrinolaringología,9,0.0095
Pediatría,110,0.1164
Psiquiatría,30,0.0317
Psiquiatría Infanto Juvenil,3,0.0032
Radioterapia o Terapia Radiante,1,0.0011
Reumatología,5,0.0053
Terapia Intensiva,37,0.0392
Terapia Intensiva Infantil,7,0.0074
Tocoginecología,77,0.0815
Toxicología,3,0.0032
Urología,5,0.0053
