Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,7,0.0047
Anatomía Patológica,23,0.0154
Anestesiología,40,0.0268
Angiología General y Hemodinamia,1,0.0007
Auditoría de Servicios de Salud,5,0.0033
Cardiología,71,0.0475
Cardiología Infantil,5,0.0033
Cirugía Cardiovascular,4,0.0027
Cirugía Cardiovascular Pediátrica,1,0.0007
Cirugía de Cabeza y Cuello,2,0.0013
Cirugía de Tórax (Cirugía Torácica),1,0.0007
Cirugía General,102,0.0682
Cirugía infantil (Cirugía Pediátrica),4,0.0027
Cirugía Plástica y Reparadora,13,0.0087
Clínica Médica,100,0.0669
Dermatología,21,0.014
Diagnóstico por Imágenes,103,0.0689
Emergentología,3,0.002
Endocrinología,6,0.004
Endocrinología Infantil,1,0.0007
Fisiatría (Medicina Física y Rehabilitación),1,0.0007
Gastroenterología,12,0.008
Gastroenterología Infantil,1,0.0007
Geriatría,2,0.0013
Ginecología,64,0.0428
Hematología,13,0.0087
Hemato-oncología Pediátrica,1,0.0007
Hemoterapia e Inmunohematología,9,0.006
Infectología,24,0.0161
Infectología Infantil,1,0.0007
Medicina del Deporte,11,0.0074
Medicina del Trabajo,53,0.0355
Medicina General y/o Medicina Familia,53,0.0355
Medicina Legal,69,0.0462
Medicina Nuclear,2,0.0013
Nefrología,10,0.0067
Nefrología Infantil,1,0.0007
Neonatología,29,0.0194
Neumonología,5,0.0033
Neumonología Infantil,2,0.0013
Neurocirugía,6,0.004
Neurología,9,0.006
Neurología Infantil,2,0.0013
Nutrición,7,0.0047
Obstetricia,71,0.0475
Oftalmología,57,0.0381
Oncología,14,0.0094
Ortopedia y Traumatología,93,0.0622
Ortopedia y Traumatología Infantil,2,0.0013
Otorrinolaringología,16,0.0107
Pediatría,157,0.105
Psiquiatría,26,0.0174
Reumatología,6,0.004
Reumatología Infantil,1,0.0007
Terapia Intensiva,42,0.0281
Terapia Intensiva Infantil,2,0.0013
Tocoginecología,90,0.0602
Urología,18,0.012
