Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,5,0.0023
Anatomía Patológica,18,0.0081
Anestesiología,73,0.033
Auditoría de Servicios de Salud,1,0.0005
Cardiología,76,0.0343
Cardiología Infantil,9,0.0041
Cirugía Cardiovascular,4,0.0018
Cirugía Cardiovascular Pediátrica,1,0.0005
Cirugía de Cabeza y Cuello,1,0.0005
Cirugía de Tórax (Cirugía Torácica),2,0.0009
Cirugía General,124,0.056
Cirugía infantil (Cirugía Pediátrica),6,0.0027
Cirugía Plástica y Reparadora,12,0.0054
Cirugía Vascular Periférica,5,0.0023
Clínica Médica,237,0.1071
Coloproctología,3,0.0014
Dermatología,28,0.0127
Dermatología Pediátrica,2,0.0009
Diagnóstico por Imágenes,64,0.0289
Emergentología,14,0.0063
Endocrinología,6,0.0027
Endocrinología Infantil,1,0.0005
Fisiatría (Medicina Física y Rehabilitación),5,0.0023
Gastroenterología,17,0.0077
Gastroenterología Infantil,3,0.0014
Genética Médica,4,0.0018
Geriatría,6,0.0027
Ginecología,17,0.0077
Hematología,11,0.005
Hematología Infantil,1,0.0005
Hemato-oncología Pediátrica,2,0.0009
Hemoterapia e Inmunohematología,2,0.0009
Hepatología,2,0.0009
Infectología,18,0.0081
Infectología Infantil,1,0.0005
Medicina del Deporte,5,0.0023
Medicina del Trabajo,137,0.0619
"Medicina General y/o Medicina
Familia",272,0.1229
Medicina Legal,40,0.0181
Medicina Paliativa,5,0.0023
Nefrología,18,0.0081
Nefrología Infantil,3,0.0014
Neonatología,40,0.0181
Neumonología,20,0.009
Neumonología Infantil,3,0.0014
Neurocirugía,13,0.0059
Neurología,16,0.0072
Neurología Infantil,3,0.0014
Nutrición,7,0.0032
Obstetricia,25,0.0113
Oftalmología,66,0.0298
Oncología,10,0.0045
Oncología Infantil,1,0.0005
Ortopedia y Traumatología,101,0.0456
Otorrinolaringología,22,0.0099
Pediatría,300,0.1356
Psiquiatría,83,0.0375
Psiquiatría Infanto Juvenil,7,0.0032
Radioterapia o Terapia Radiante,3,0.0014
Reumatología,3,0.0014
Salud Pública,3,0.0014
Terapia Intensiva,55,0.0249
Terapia Intensiva Infantil,13,0.0059
Tocoginecología,139,0.0628
Toxicología,2,0.0009
Urología,17,0.0077
