Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,1,0.0005
Anatomía Patológica,19,0.0094
Anestesiología,69,0.0342
Angiología General y Hemodinamia,1,0.0005
Auditoría de Servicios de Salud,4,0.002
Cardiología,106,0.0526
Cardiología Infantil,7,0.0035
Cirugía Cardiovascular,8,0.004
Cirugía de Cabeza y Cuello,1,0.0005
Cirugía de Tórax (Cirugía Torácica),5,0.0025
Cirugía General,143,0.071
Cirugía infantil (Cirugía Pediátrica),8,0.004
Cirugía Plástica y Reparadora,13,0.0065
Cirugía Vascular Periférica,4,0.002
Clínica Médica,207,0.1027
Coloproctología,1,0.0005
Dermatología,27,0.0134
Diagnóstico por Imágenes,88,0.0437
Emergentología,5,0.0025
Endocrinología,17,0.0084
Endocrinología Infantil,2,0.001
Especialidad de Endodoncia,1,0.0005
Fisiatría (Medicina Física y Rehabilitación),9,0.0045
Gastroenterología,24,0.0119
Gastroenterología Infantil,1,0.0005
Genética Médica,1,0.0005
Geriatría,9,0.0045
Ginecología,23,0.0114
Hematología,11,0.0055
Hematología Infantil,1,0.0005
Hemoterapia e Inmunohematología,2,0.001
Hepatología,1,0.0005
Infectología,14,0.0069
Infectología Infantil,1,0.0005
Medicina del Deporte,5,0.0025
Medicina del Trabajo,100,0.0496
Medicina General y/o Medicina Familia,185,0.0918
Medicina Legal,40,0.0199
Medicina Nuclear,1,0.0005
Nefrología,26,0.0129
Nefrología Infantil,1,0.0005
Neonatología,38,0.0189
Neumonología,15,0.0074
Neumonología Infantil,2,0.001
Neurocirugía,11,0.0055
Neurología,13,0.0065
Neurología Infantil,5,0.0025
Nutrición,7,0.0035
Obstetricia,18,0.0089
Oftalmología,68,0.0337
Oncología,14,0.0069
Oncología Infantil,1,0.0005
Ortopedia y Traumatología,96,0.0476
Ortopedia y Traumatología Infantil,2,0.001
Otorrinolaringología,23,0.0114
Pediatría,239,0.1186
Psiquiatría,57,0.0283
Psiquiatría Infanto Juvenil,3,0.0015
Radioterapia o Terapia Radiante,4,0.002
Reumatología,4,0.002
Reumatología Infantil,1,0.0005
Terapia Intensiva,59,0.0293
Terapia Intensiva Infantil,13,0.0065
Tocoginecología,110,0.0546
Urología,20,0.0099
