Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,4,0.0025
Alergia e inmunología Pediátrica,1,0.0006
Anatomía Patológica,15,0.0095
Anestesiología,47,0.0299
Angiología General y Hemodinamia,6,0.0038
Auditoría de Servicios de Salud,3,0.0019
Cardiología,96,0.061
Cardiología Infantil,6,0.0038
Cirugía Cardiovascular,10,0.0064
Cirugía de Cabeza y Cuello,3,0.0019
Cirugía de Tórax (Cirugía Torácica),4,0.0025
Cirugía General,87,0.0553
Cirugía infantil (Cirugía Pediátrica),10,0.0064
Cirugía Plástica y Reparadora,13,0.0083
Cirugía Vascular Periférica,4,0.0025
Clínica Médica,95,0.0604
Coloproctología,1,0.0006
Dermatología,25,0.0159
Diagnóstico por Imágenes,55,0.035
Electrofisiología cardíaca,1,0.0006
Emergentología,4,0.0025
Endocrinología,10,0.0064
Endocrinología Infantil,3,0.0019
Especialidad en Cirugía y Traumatología Bucomaxilofacial,1,0.0006
Fisiatría (Medicina Física y Rehabilitación),3,0.0019
Gastroenterología,13,0.0083
Gastroenterología Infantil,3,0.0019
Geriatría,17,0.0108
Ginecología,4,0.0025
Hematología,10,0.0064
Hematología Infantil,1,0.0006
Hemato-oncología Pediátrica,1,0.0006
Hemoterapia e Inmunohematología,16,0.0102
Hepatología,2,0.0013
Infectología,16,0.0102
Infectología Infantil,4,0.0025
Medicina del Deporte,4,0.0025
Medicina del Trabajo,65,0.0413
Medicina General y/o Medicina Familia,117,0.0744
Medicina Legal,30,0.0191
Medicina Paliativa,1,0.0006
Nefrología,25,0.0159
Nefrología Infantil,1,0.0006
Neonatología,31,0.0197
Neumonología,9,0.0057
Neumonología Infantil,2,0.0013
Neurocirugía,14,0.0089
Neurología,11,0.007
Neurología Infantil,3,0.0019
Nutrición,5,0.0032
Obstetricia,7,0.0045
Oftalmología,60,0.0381
Oncología,17,0.0108
Ortopedia y Traumatología,54,0.0343
Ortopedia y Traumatología Infantil,1,0.0006
Otorrinolaringología,33,0.021
Pediatría,207,0.1316
Psiquiatría,47,0.0299
Psiquiatría Infanto Juvenil,4,0.0025
Radioterapia o Terapia Radiante,2,0.0013
Reumatología,7,0.0045
Reumatología Infantil,1,0.0006
Salud Pública,1,0.0006
Terapia Intensiva,57,0.0362
Terapia Intensiva Infantil,9,0.0057
Tocoginecología,135,0.0858
Urología,19,0.0121
