Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,5,0.0063
Anatomía Patológica,11,0.0138
Anestesiología,18,0.0226
Angiología General y Hemodina,4,0.005
Auditoría de Servicios de Salud,1,0.0013
Cardiología,41,0.0516
Cardiología Infantil,2,0.0025
Cirugía Cardiovascular,2,0.0025
Cirugía de Cabeza y Cuello,1,0.0013
Cirugía de Tórax (Cirugía Torácic,2,0.0025
Cirugía General,50,0.0629
Cirugía infantil (Cirugía Pediátric,5,0.0063
Cirugía Plástica y Reparadora,4,0.005
Clínica Médica,67,0.0843
Dermatología,7,0.0088
Diagnóstico por Imágenes,14,0.0176
Emergentología,6,0.0075
Endocrinología,4,0.005
Endocrinología Infantil,1,0.0013
Fisiatría (Medicina Física y Rehabilitación),6,0.0075
Gastroenterología,12,0.0151
Genética Médica,1,0.0013
Geriatría,6,0.0075
Ginecología,4,0.005
Hematología,2,0.0025
Hemato-oncología Pediátrica,1,0.0013
Hemoterapia e Inmunohematol,1,0.0013
Infectología,10,0.0126
Medicina del Deporte,5,0.0063
Medicina del Trabajo,13,0.0164
Medicina General y/o Medicina Familia,137,0.1723
Medicina Legal,18,0.0226
Nefrología,10,0.0126
Nefrología Infantil,2,0.0025
Neonatología,17,0.0214
Neumonología,3,0.0038
Neumonología Infantil,2,0.0025
Neurocirugía,9,0.0113
Neurología,13,0.0164
Neurología Infantil,1,0.0013
Obstetricia,4,0.005
Oftalmología,37,0.0465
Oncología,11,0.0138
Ortopedia y Traumatología,25,0.0314
Otorrinolaringología,6,0.0075
Pediatría,87,0.1094
Psiquiatría,18,0.0226
Psiquiatría Infanto Juvenil,1,0.0013
Radioterapia o Terapia Radiante,2,0.0025
Reumatología,4,0.005
Terapia Intensiva,17,0.0214
Terapia Intensiva Infantil,3,0.0038
Tocoginecología,54,0.0679
Urología,8,0.0101
