Especialidad,Suma de Cantidad,Suma de Porcentaje
Anatomía Patológica,5,0.0062
Anestesiología,27,0.0336
Angiología General y Hemodina,1,0.0012
Auditoría de Servicios de Salud,2,0.0025
Cardiología,36,0.0448
Cirugía Cardiovascular Pediátric,1,0.0012
Cirugía General,53,0.066
Cirugía infantil (Cirugía Pediátric,3,0.0037
Cirugía Plástica y Reparadora,3,0.0037
Cirugía Vascular Periférica,1,0.0012
Clínica Médica,55,0.0685
Dermatología,8,0.01
Diagnóstico por Imágenes,19,0.0237
Emergentología,1,0.0012
Endocrinología,5,0.0062
Fisiatría (Medicina Física y Rehabilitación),3,0.0037
Gastroenterología,6,0.0075
Geriatría,3,0.0037
Gestión de Servicios de Salud,1,0.0012
Ginecología,14,0.0174
Hematología,3,0.0037
Hemoterapia e Inmunohematología,7,0.0087
Infectología,6,0.0075
Medicina del Trabajo,58,0.0722
Medicina General y/o Medicina Familia,114,0.142
Medicina Legal,20,0.0249
Nefrología,12,0.0149
Nefrología Infantil,1,0.0012
Neonatología,16,0.0199
Neumonología,8,0.01
Neumonología Infantil,2,0.0025
Neurocirugía,9,0.0112
Neurología,8,0.01
Nutrición,1,0.0012
Obstetricia,15,0.0187
Oftalmología,27,0.0336
Oncología,5,0.0062
Ortopedia y Traumatología,33,0.0411
Ortopedia y Traumatología Infantil,1,0.0012
Otorrinolaringología,8,0.01
Pediatría,94,0.1171
Psiquiatría,25,0.0311
Psiquiatría Infanto Juvenil,3,0.0037
Reumatología,2,0.0025
Terapia Intensiva,30,0.0374
Terapia Intensiva Infantil,2,0.0025
Tocoginecología,42,0.0523
Urología,4,0.005
