Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,5,0.0044
Alergia e inmunología Pediátrica,1,0.0009
Anatomía Patológica,6,0.0053
Anestesiología,53,0.0468
Angiología General y Hemodinamia,1,0.0009
Cardiología,82,0.0724
Cardiología Infantil,5,0.0044
Cirugía Cardiovascular,10,0.0088
Cirugía de Cabeza y Cuello,2,0.0018
Cirugía de Tórax (Cirugía Torácica),4,0.0035
Cirugía General,78,0.0689
Cirugía infantil (Cirugía Pediátrica),3,0.0027
Cirugía Plástica y Reparadora,11,0.0097
Cirugía Vascular Periférica,2,0.0018
Clínica Médica,75,0.0663
Dermatología,9,0.008
Diagnóstico por Imágenes,30,0.0265
Emergentología,1,0.0009
Endocrinología,16,0.0141
Endocrinología Infantil,2,0.0018
Fisiatría (Medicina Física y Rehabilitación),1,0.0009
Gastroenterología,14,0.0124
Geriatría,11,0.0097
Gestión de Servicios de Salud,1,0.0009
Ginecología,28,0.0247
Hematología,4,0.0035
Hemoterapia e Inmunohematología,4,0.0035
Infectología,5,0.0044
Medicina del Deporte,4,0.0035
Medicina del Trabajo,32,0.0283
"Medicina General y/o Medicina
Familia",88,0.0777
Medicina Legal,26,0.023
Nefrología,17,0.015
Neonatología,14,0.0124
Neumonología,8,0.0071
Neumonología Infantil,2,0.0018
Neurocirugía,9,0.008
Neurología,11,0.0097
Neurología Infantil,1,0.0009
Nutrición,8,0.0071
Obstetricia,50,0.0442
Oftalmología,59,0.0521
Oncología,14,0.0124
Ortopedia y Traumatología,61,0.0539
Otorrinolaringología,13,0.0115
Pediatría,109,0.0963
Psiquiatría,48,0.0424
Reumatología,6,0.0053
Terapia Intensiva,15,0.0133
Terapia Intensiva Infantil,7,0.0062
Tocoginecología,52,0.0459
Toxicología,1,0.0009
Urología,13,0.0115
