Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,2,0.0025
Anatomía Patológica,10,0.0127
Anestesiología,20,0.0253
Angiología General y Hemodina,3,0.0038
Auditoría de Servicios de Salud,2,0.0025
Cardiología,27,0.0342
Cardiología Infantil,2,0.0025
Cirugía Cardiovascular,2,0.0025
Cirugía de Cabeza y Cuello,1,0.0013
Cirugía de Tórax (Cirugía Torácic,2,0.0025
Cirugía General,43,0.0544
Cirugía infantil (Cirugía Pediátric,3,0.0038
Cirugía Plástica y Reparadora,3,0.0038
Clínica Médica,75,0.0949
Dermatología,10,0.0127
Diagnóstico por Imágenes,34,0.043
Emergentología,2,0.0025
Endocrinología,3,0.0038
Endocrinología Infantil,1,0.0013
Enfermería en Salud Mental y Psiquiatría,1,0.0013
Epidemiología,1,0.0013
Fisiatría (Medicina Física y Rehabilitación),4,0.0051
Gastroenterología,4,0.0051
Geriatría,4,0.0051
Gestión de Servicios de Salud,1,0.0013
Ginecología,6,0.0076
Hematología,4,0.0051
Hepatología,1,0.0013
Infectología,7,0.0089
Infectología Infantil,1,0.0013
Medicina del Deporte,1,0.0013
Medicina del Trabajo,38,0.0481
Medicina General y/o Medicina Familia,69,0.0873
Medicina Legal,21,0.0266
Nefrología,8,0.0101
Neonatología,19,0.0241
Neumonología,3,0.0038
Neurocirugía,7,0.0089
Neurología,7,0.0089
Nutrición,5,0.0063
Obstetricia,9,0.0114
Oftalmología,25,0.0316
Oncología,5,0.0063
Ortopedia y Traumatología,34,0.043
Otorrinolaringología,12,0.0152
Pediatría,121,0.1532
Psiquiatría,25,0.0316
Psiquiatría Infanto Juvenil,5,0.0063
Reumatología,3,0.0038
Salud Pública,1,0.0013
Terapia Intensiva,24,0.0304
Terapia Intensiva Infantil,9,0.0114
Tocoginecología,49,0.062
Toxicología,1,0.0013
Urología,10,0.0127
