Especialidad,Suma de Cantidad,Suma de Porcentaje
Alergia e Inmunología,11,0.0048
Alergia e inmunología Pediátrica,1,0.0004
Anatomía Patológica,14,0.006
Anestesiología,43,0.0186
Angiología General y Hemodinamia,4,0.0017
Auditoría de Servicios de Salud,1,0.0004
Cardiología,149,0.0644
Cardiología Infantil,4,0.0017
Cirugía Cardiovascular,10,0.0043
Cirugía de Cabeza y Cuello,8,0.0035
Cirugía de Tórax (Cirugía Torácica),4,0.0017
Cirugía General,173,0.0747
Cirugía infantil (Cirugía Pediátrica),12,0.0052
Cirugía Plástica y Reparadora,24,0.0104
Cirugía Vascular Periférica,2,0.0009
Clínica Médica,113,0.0488
Coloproctología,4,0.0017
Dermatología,109,0.0471
Diagnóstico por Imágenes,92,0.0397
Electrofisiología cardíaca,1,0.0004
Endocrinología,64,0.0276
Endocrinología Infantil,5,0.0022
Fisiatría (Medicina Física y Rehabilitación),8,0.0035
Gastroenterología,40,0.0173
Gastroenterología Infantil,1,0.0004
Genética Médica,2,0.0009
Geriatría,15,0.0065
Ginecología,23,0.0099
Hematología,10,0.0043
Hemoterapia e Inmunohematología,7,0.003
Infectología,28,0.0121
Infectología Infantil,2,0.0009
Medicina del Deporte,10,0.0043
Medicina del Trabajo,47,0.0203
Medicina General y/o Medicina Familia,176,0.076
Medicina Legal,15,0.0065
Medicina Nuclear,1,0.0004
Nefrología,32,0.0138
Nefrología Infantil,3,0.0013
Neonatología,38,0.0164
Neumonología,53,0.0229
Neumonología Infantil,2,0.0009
Neurocirugía,20,0.0086
Neurología,9,0.0039
Neurología Infantil,2,0.0009
Nutrición,42,0.0181
Obstetricia,9,0.0039
Oftalmología,79,0.0341
Oncología,14,0.006
Ortopedia y Traumatología,111,0.0479
Ortopedia y Traumatología Infantil,2,0.0009
Otorrinolaringología,44,0.019
Pediatría,246,0.1063
Psiquiatría,78,0.0337
Psiquiatría Infanto Juvenil,5,0.0022
Radioterapia o Terapia Radiante,3,0.0013
Reumatología,17,0.0073
Reumatología Infantil,1,0.0004
Salud Pública,14,0.006
Terapia Intensiva,31,0.0134
Terapia Intensiva Infantil,7,0.003
Tocoginecología,181,0.0782
Toxicología,1,0.0004
Urología,38,0.0164
